Rank	Score	Type	ID	Name	Description
2750	2.11	cp	BRD-K76698671	HNHA	HDAC inhibitor
2751	2.11	cp	BRD-K72816382	cinalukast	Leukotriene receptor antagonist
2759	2.08	cp	BRD-K26521938	dinoprostone	Prostanoid receptor agonist
2766	2.04	cp	BRD-K34508425	KUC103898N	-666
2767	2.04	cp	BRD-K05434375	HA-1004	Calcium channel blocker
2768	2.04	cp	BRD-A72596465	GW-6471	PPAR receptor antagonist
2769	2.04	cp	BRD-K48367671	febuxostat	Xanthine oxidase inhibitor
2772	2.04	cp	BRD-K03816923	rottlerin	MAP kinase inhibitor
2773	2.04	cp	BRD-A09094913	strychnine	Acetylcholine receptor antagonist
2776	2.01	cp	BRD-K17306061	aprepitant	Tachykinin antagonist
2777	2.01	cp	BRD-K30743633	TCPOBOP	CAR agonist
2778	2.01	cp	BRD-K10176267	L-701252	Glutamate receptor antagonist
2779	2.01	cp	BRD-K46678324	RHO-kinase-inhibitor-II	Rho associated kinase inhibitor
2784	1.97	cp	BRD-K95921201	reserpine	Vesicular monoamine transporter inhibitor
2785	1.97	cp	BRD-K62200014	anagrelide	Phosphodiesterase inhibitor
2788	1.97	cp	BRD-A47494775	dipivefrine	Adrenergic receptor agonist
2790	1.94	cp	BRD-K60060639	methyllidocaine	antiarrhythmic medication
2795	1.91	cp	BRD-K13664374	dichloroacetic-acid	Pyruvate dehydrogenase kinase inhibitor
2797	1.9	cp	BRD-K04111260	raclopride	Dopamine receptor antagonist
2808	1.83	cp	BRD-K86465814	HO-013	PPAR receptor agonist
2813	1.81	cp	BRD-K71731651	PNU-120596	Acetylcholine receptor agonist
2815	1.8	cp	BRD-K98530306	clonidine	Adrenergic receptor agonist
2818	1.78	cp	BRD-K68392338	ZK-93426	Benzodiazepine receptor antagonist
2820	1.76	cp	BRD-K02965346	SU-11274	Hepatocyte growth factor receptor inhibitor
2821	1.76	cp	BRD-K46212057	voriconazole	Cytochrome P450 inhibitor
2822	1.76	cp	BRD-A11990600	lorazepam	Benzodiazepine receptor agonist
2823	1.76	cp	BRD-K67298865	SB-431542	TGF beta receptor inhibitor
2825	1.73	cp	BRD-A82590476	SDZ-NKT-343	Tachykinin antagonist
2829	1.69	cp	BRD-A14395271	mesoridazine	Dopamine receptor antagonist
2830	1.69	cp	BRD-K75615183	talipexole	Adrenergic receptor agonist
2831	1.69	cp	BRD-K26801045	pipamperone	Dopamine receptor antagonist
2836	1.66	cp	BRD-K43880410	pregnenolone	glutamate receptor modulator
2837	1.66	cp	BRD-K05464208	JX-401	p38 MAPK inhibitor
2847	1.62	cp	BRD-K13926615	vardenafil	Phosphodiesterase inhibitor
2848	1.62	cp	BRD-A78377521	monastrol	Kinesin-like spindle protein inhibitor
2849	1.62	cp	BRD-K01292756	pimozide	Dopamine receptor antagonist
2855	1.59	cp	BRD-K20313525	rosmarinic-acid	GABA transaminase inhibitor
2863	1.55	cp	BRD-K53913732	SB-408124	Orexin receptor antagonist
2864	1.55	cp	BRD-K50464341	berbamine	Calmodulin antagonist
2865	1.55	cp	BRD-K30240666	clemastine	Histamine receptor antagonist
2874	1.52	cp	BRD-K70241288	L-692585	Growth hormone releasing peptide ligand agonist
2875	1.52	cp	BRD-K01815685	indole	aryl hydrocarbon receptor agonist
2876	1.52	cp	BRD-K52394958	GR-159897	Tachykinin antagonist
2877	1.52	cp	BRD-K63792901	arecaidine	Acetylcholine receptor agonist
2878	1.52	cp	BRD-K55468218	spiperone	Dopamine receptor antagonist
2879	1.51	cp	BRD-A39390670	rabeprazole	ATPase inhibitor
2880	1.51	cp	BRD-A85860691	chaetocin	Histone lysine methyltransferase inhibitor
2894	1.41	cp	BRD-K70557564	zosuquidar	P-glycoprotein inhibitor
2895	1.41	cp	BRD-K32744045	disulfiram	Aldehyde dehydrogenase inhibitor
2896	1.41	cp	BRD-K61097567	SB-218795	Tachykinin antagonist
2897	1.41	cp	BRD-K65639003	icariin	Phosphodiesterase inhibitor
2898	1.41	cp	BRD-K40227168	vinburnine	Adrenergic receptor antagonist
2899	1.41	cp	BRD-K63945320	dihydrosamidin	Phospholipase inhibitor
2900	1.4	cp	BRD-K92778217	mefenamic-acid	Cyclooxygenase inhibitor
2909	1.37	cp	BRD-K51918615	iodophenpropit	Histamine receptor antagonist
2911	1.37	cp	BRD-K12762134	XAV-939	Tankyrase inhibitor
2912	1.34	cp	BRD-K36258877	AZ-10417808	Caspase inhibitor
2920	1.34	cp	BRD-K32247306	primidone	GABA receptor antagonist
2924	1.29	cp	BRD-K31843556	T-0070907	PPAR receptor antagonist
2929	1.27	cp	BRD-K66944906	fraxidin	Carbonic anhydrase inhibitor
2930	1.27	cp	BRD-K15164005	apoptosis-activator-II	Carboxylesterase inhibitor
2931	1.27	cp	BRD-K64614248	salicin	Anti-inflammatory
2932	1.27	cp	BRD-K54665485	R-59022	Diacylglycerol kinase inhibitor
2933	1.27	cp	BRD-K08973992	linoleic-acid	Oxidative stress inducer
2940	1.23	cp	BRD-A73581086	ergometrine	Adrenergic receptor agonist
2941	1.23	cp	BRD-K67680372	CI-966	GAT inhibitor
2942	1.23	cp	BRD-K29668683	BD-1063	Sigma receptor antagonist
2943	1.23	cp	BRD-A16311756	profenamine	Butyrylcholinesterase inhibitor
2945	1.2	cp	BRD-K95901403	XL-147	PI3K inhibitor
2946	1.2	cp	BRD-K76775527	nimesulide	Cyclooxygenase inhibitor
2947	1.2	cp	BRD-K89210380	biotin	Vitamin B
2948	1.2	cp	BRD-K06980535	promazine	Dopamine receptor antagonist
2949	1.2	cp	BRD-A83326220	brazilin	Nitric oxide production inhibitor
2952	1.18	cp	BRD-A73680854	PT-630	Dipeptidyl peptidase inhibitor
2953	1.18	cp	BRD-K89687904	PKCbeta-inhibitor	PKC inhibitor
2957	1.16	cp	BRD-K54094468	remoxipride	Dopamine receptor antagonist
2958	1.16	cp	BRD-A38898897	GW-311616	Leukocyte elastase inhibitor
2959	1.16	cp	BRD-A35033682	eriodictyol	Cytochrome P450 inhibitor
2961	1.13	cp	BRD-K74733595	APHA-compound-8	HDAC inhibitor
2962	1.13	cp	BRD-K87696786	LY-456236	Glutamate receptor antagonist
2971	1.09	cp	BRD-K51816706	oxindole-I	VEGFR inhibitor
2972	1.09	cp	BRD-K17796732	JWH-015	Cannabinoid receptor agonist
2973	1.09	cp	BRD-K12357156	AG-490	EGFR inhibitor
2974	1.09	cp	BRD-K91263825	nortriptyline	Tricyclic antidepressant
2986	1.02	cp	BRD-K51730347	diphencyprone	Immunostimulant
2987	1.02	cp	BRD-A33711280	metixene	Acetylcholine receptor antagonist
2988	1.02	cp	BRD-K06467078	corynanthine	Adrenergic receptor antagonist
2996	0.95	cp	BRD-K92870997	pterostilbene	Cyclooxygenase inhibitor
2999	0.95	cp	BRD-K50417881	eticlopride	Dopamine receptor antagonist
3003	0.92	cp	BRD-K22010301	JLK-6	Gamma secretase inhibitor
3004	0.92	cp	BRD-K95851186	CGP-13501	GABA receptor modulator
3007	0.88	cp	BRD-K28907958	CD-437	Retinoid receptor agonist
3008	0.88	cp	BRD-K31792052	pifithrin	Interleukin receptor antagonist
3010	0.85	cp	BRD-K40887525	ritanserin	Serotonin receptor antagonist
3011	0.85	cp	BRD-K01663662	diphenidol	Acetylcholine receptor agonist
3012	0.85	cp	BRD-K47207162	zimelidine	Serotonin reuptake inhibitor
3014	0.84	cp	BRD-A79672927	tropicamide	Acetylcholine receptor antagonist
3018	0.82	cp	BRD-K13800121	parecoxib	Cyclooxygenase inhibitor
3019	0.81	cp	BRD-A02481876	importazole	Importin-beta transport receptor inhibitor
3020	0.81	cp	BRD-A56359832	zileuton	Leukotriene inhibitor
3021	0.81	cp	BRD-K43245338	MDL-28170	Calpain inhibitor
3022	0.81	cp	BRD-K83322645	L-693403	Sigma receptor agonist
3023	0.81	cp	BRD-A26032986	zaldaride	Calmodulin antagonist
3028	0.78	cp	BRD-K23383398	T-0901317	LXR agonist
3029	0.78	cp	BRD-A26845397	isamoltan	Adrenergic receptor antagonist
3030	0.78	cp	BRD-K38436528	imipramine	Norepinephrine reuptake inhibitor
3036	0.74	cp	BRD-A89337244	PD-102807	Acetylcholine receptor antagonist
3037	0.74	cp	BRD-K96263742	GW-7647	PPAR receptor agonist
3038	0.74	cp	BRD-K93080877	Ala-Ala-Phe-CMK	Tripeptidyl peptidase inhibitor
3043	0.74	cp	BRD-K05653692	DL-PDMP	Glucosyltransferase inhibitor
3047	0.7	cp	BRD-K32795028	1-benzylimidazole	Thromboxane synthase inhibitor
3048	0.7	cp	BRD-K23913458	coumarin	Vitamin K antagonist
3049	0.7	cp	BRD-K20655524	mefexamide	Psychoactive drug
3054	0.67	cp	BRD-A02176148	tubaic-acid	Mitochondrial complex I inhibitor
3055	0.67	cp	BRD-K26241953	piceatannol	SYK inhibitor
3056	0.67	cp	BRD-K14441456	tyrphostin-AG-556	EGFR inhibitor
3057	0.67	cp	BRD-K35377380	I-OMe-AG-538	IGF-1 inhibitor
3058	0.67	cp	BRD-K98490050	amsacrine	Topoisomerase inhibitor
3061	0.63	cp	BRD-K90524085	MY-5445	Phosphodiesterase inhibitor
3062	0.63	cp	BRD-K36864847	BD-1047	Adrenergic receptor antagonist
3064	0.63	cp	BRD-K93176058	AC-55649	Retinoid receptor agonist
3067	0.6	cp	BRD-K56745457	azauridine	Antiviral
3068	0.6	cp	BRD-K68997413	PF-3845	FAAH inhibitor
3069	0.6	cp	BRD-K01779529	fluoropyruvate	Pyruvate dehydrogenase kinase inhibitor
3070	0.6	cp	BRD-K41260949	valproic-acid	HDAC inhibitor
3071	0.6	cp	BRD-A44133049	azasetron	Serotonin receptor antagonist
3072	0.6	cp	BRD-A48720949	testosterone	androgen receptor agonist
3075	0.56	cp	BRD-K61401890	deguelin	NADH-ubiquinone oxidoreductase (Complex I) inhibitor
3078	0.54	cp	BRD-K60762818	desipramine	Tricyclic antidepressant
3079	0.53	cp	BRD-K23369905	oxiconazole	Bacterial cell wall synthesis inhibitor
3080	0.53	cp	BRD-A70649075	sulconazole	Sterol demethylase inhibitor
3081	0.53	cp	BRD-K92000912	AM-251	Cannabinoid receptor antagonist
3085	0.49	cp	BRD-A98378129	talniflumate	Cyclooxygenase inhibitor
3086	0.49	cp	BRD-K17008822	BD-1008	Sigma receptor antagonist
3087	0.48	cp	BRD-K96471533	nitazoxanide	Pyruvate ferredoxin oxidoreductase inhibitor
3094	0.42	cp	BRD-A70407468	PSB-36	Adenosine receptor antagonist
3096	0.39	cp	BRD-A19633847	perhexiline	Carnitine palmitoyltransferase inhibitor
3100	0.35	cp	BRD-A31521121	methocarbamol	Muscle relaxant
3101	0.35	cp	BRD-K09778810	FGIN-1-27	Inositol monophosphatase inhibitor
3104	0.32	cp	BRD-A09467419	mebeverine	Acetylcholine receptor antagonist
3108	0.28	cp	BRD-A31575449	CGP-20712	Adrenergic receptor antagonist
3109	0.28	cp	BRD-A11135865	nor-binaltorphimine	Opioid receptor antagonist
3110	0.28	cp	BRD-K17075857	chloroxine	Opioid receptor antagonist
3111	0.28	cp	BRD-K43068349	AMG-9810	TRPV antagonist
3112	0.25	cp	BRD-K59962020	CHEMBL-374350	NFkB pathway inhibitor
3113	0.25	cp	BRD-K63874012	thioperamide	Histamine receptor antagonist
3114	0.25	cp	BRD-A41451487	PK-11195	Benzodiazepine receptor antagonist
3115	0.25	cp	BRD-A26711594	nicardipine	Calcium channel blocker
3116	0.25	cp	BRD-K71289571	zafirlukast	Leukotriene receptor antagonist
3123	0.18	cp	BRD-K82357231	desloratadine	Histamine receptor antagonist
3124	0.18	cp	BRD-K28936863	ketotifen	Histamine receptor agonist
3125	0.18	cp	BRD-K68143200	SA-792541	CDC inhibitor
3128	0.13	cp	BRD-K06926592	tretinoin	Retinoid receptor agonist
3129	0.11	cp	BRD-K12994359	valdecoxib	Cyclooxygenase inhibitor
3131	0.1	cp	BRD-K32311154	nifekalant	Potassium channel blocker
3132	0.07	cp	BRD-K33308633	INCA-6	Calcineurin inhibitor
3133	0.07	cp	BRD-K49049886	CGS-15943	Adenosine receptor antagonist
3136	0.04	cp	BRD-K59256312	gabexate	Serine protease inhibitor
3138	0.03	cp	BRD-K17561142	amiodarone	Potassium channel blocker
3139	0.02	cp	BRD-K66874953	pifithrin-alpha	TP53 inhibitor
3354	0	cp	BRD-K54529596	captopril	ACE inhibitor
3355	0	cp	BRD-K90864987	cobalt(II)-chloride	HSP inducer
3356	0	cp	BRD-K60690191	MPEP	Glutamate receptor antagonist
3357	0	cp	BRD-K04466929	Merck60	HDAC inhibitor
3358	0	cp	BRD-A95696820	acadesine	AMPK activator
3359	0	cp	BRD-A09495397	bicuculline	GABA receptor antagonist
3360	0	cp	BRD-K37720887	SB-525334	TGF beta receptor inhibitor
3361	0	cp	BRD-K81783531	VX-222	HCV inhibitor
3362	0	cp	BRD-K16485616	mocetinostat	HDAC inhibitor
3363	0	cp	BRD-K86930074	cediranib	KIT inhibitor
3364	0	cp	BRD-K99964838	bosutinib	ABL inhibitor
3365	0	cp	BRD-K13566078	BMS-345541	IKK inhibitor
3366	0	cp	BRD-K35128472	2-aminopurine	Serine/threonine kinase inhibitor
3367	0	cp	BRD-K18135438	chenodeoxycholic-acid	11-beta-HSD1 inhibitor
3368	0	cp	BRD-K65331431	retinyl	vitamin analog
3369	0	cp	BRD-K14880289	GW-501516	PPAR receptor agonist
3370	0	cp	BRD-A80960055	celastrol	Anti-inflammatory
3371	0	cp	BRD-U86922168	QL-XII-47	BTK inhibitor
3372	0	cp	BRD-A60245366	AS-601245	JNK inhibitor
3373	0	cp	BRD-K10467831	tibolone	Androgen receptor agonist
3374	0	cp	BRD-K57930253	nitrazepam	Benzodiazepine receptor agonist
3375	0	cp	BRD-K70883034	nimetazepam	GABA receptor agonist
3376	0	cp	BRD-K73991644	isoquercetin	Aldose reductase inhibitor
3377	0	cp	BRD-K99447003	enalaprilat	ACE inhibitor
3378	0	cp	BRD-K63265447	docetaxel	Tubulin inhibitor
3379	0	cp	BRD-A59985574	topotecan	Topoisomerase inhibitor
3380	0	cp	BRD-K13390322	AT-7519	CDK inhibitor
3381	0	cp	BRD-A74771556	nikkomycin	Chitin inhibitor
3382	0	cp	BRD-A61858259	CAY-10415	Insulin sensitizer
3383	0	cp	BRD-K51941867	LM-1685	Cyclooxygenase inhibitor
3384	0	cp	BRD-K65910366	KUC103904N	-666
3385	0	cp	BRD-K40213712	SAL-1	Adenosine receptor antagonist
3386	0	cp	BRD-K08417745	SID-26681509	Cathepsin inhibitor
3387	0	cp	BRD-K30677119	PP-30	RAF inhibitor
3388	0	cp	BRD-K06147391	telenzepine	Acetylcholine receptor antagonist
3389	0	cp	BRD-K04414442	SB-222200	Tachykinin antagonist
3390	0	cp	BRD-K06426971	ryuvidine	Histone lysine methyltransferase inhibitor
3391	0	cp	BRD-A49370193	RO-60-0175	Serotonin receptor agonist
3392	0	cp	BRD-K46142322	RS-67333	Serotonin receptor partial agonist
3393	0	cp	BRD-K43978949	PIT	Purinergic receptor antagonist
3394	0	cp	BRD-K76568384	PHTPP	Estrogen receptor antagonist
3395	0	cp	BRD-A22380646	pantoprazole	ATPase inhibitor
3396	0	cp	BRD-A21723284	naltriben	Opioid receptor antagonist
3397	0	cp	BRD-A47633927	NPC-15199	ICAM1 antagonist
3398	0	cp	BRD-K78122587	NNC-55-0396	T-type calcium channel blocker
3399	0	cp	BRD-A35338386	NECA	Adenosine receptor agonist
3400	0	cp	BRD-A32164164	methyllycaconitine	Acetylcholine receptor antagonist
3401	0	cp	BRD-K92138166	mammea-a	other antibiotic
3402	0	cp	BRD-K14282469	LY-165163	Serotonin receptor antagonist
3403	0	cp	BRD-A31227688	kynuramine	Aryl hydrocarbon receptor activator
3404	0	cp	BRD-K63150726	JTE-907	Cannabinoid receptor inverse agonist
3405	0	cp	BRD-K02715688	hydrastine	Tyrosine hydroxylase inhibitor
3406	0	cp	BRD-K11911061	GR-127935	Serotonin receptor antagonist
3407	0	cp	BRD-A99411506	esculin	Antioxidant
3408	0	cp	BRD-K94920105	DR-2313	PARP inhibitor
3409	0	cp	BRD-K94080537	diethyltoluamide	DEET activator of fly antenna ionotropic receptor IR40a
3410	0	cp	BRD-K27499107	carbacyclin	IP receptor activator
3411	0	cp	BRD-K07507905	BRL-37344	Adrenergic receptor agonist
3412	0	cp	BRD-K81209512	AG-494	EGFR inhibitor
3413	0	cp	BRD-K20995441	U-54494A	Opioid receptor agonist
3414	0	cp	BRD-A08003242	rhodomyrtoxin-b	sodium fluorescein uptake inhibitor
3415	0	cp	BRD-K10098805	rhapontin	Apoptosis stimulant
3416	0	cp	BRD-K83302049	protopine	Histamine receptor antagonist
3417	0	cp	BRD-K68402494	ML-9	Myosin light chain kinase inhibitor
3418	0	cp	BRD-A84389091	L-655708	GABA receptor inverse agonist
3419	0	cp	BRD-K14920963	erythrosine	Coloring agent
4314	0	cp	BRD-K88742110	BRD-K88742110	HDAC inhibitor
4315	0	cp	BRD-K46424862	hymecromone	Monoamine oxidase inhibitor
4316	0	cp	BRD-A29485665	bicalutamide	Androgen receptor antagonist
4317	0	cp	BRD-A60197193	amisulpride	Dopamine receptor antagonist
4318	0	cp	BRD-A53952395	prilocaine	Local anesthetic
4319	0	cp	BRD-A31800922	procyclidine	Acetylcholine receptor antagonist
4320	0	cp	BRD-A13946108	sulindac	Cyclooxygenase inhibitor
4321	0	cp	BRD-A88774919	doxycycline	Bacterial 30S ribosomal subunit inhibitor
4322	0	cp	BRD-K52522949	NCH-51	HDAC inhibitor
4323	0	cp	BRD-A51382177	fosinopril	ACE inhibitor
4324	0	cp	BRD-K49519144	LY-2140023	Glutamate receptor agonist
4325	0	cp	BRD-K35458079	edaravone	Nootropic agent
4326	0	cp	BRD-K37194137	III606050	Cytochrome P450 inhibitor
4327	0	cp	BRD-K31283835	tofacitinib	JAK inhibitor
4328	0	cp	BRD-A46179541	doxapram	Potassium channel blocker
4329	0	cp	BRD-K21672174	RO-28-1675	Glucokinase activator
4330	0	cp	BRD-A18620900	estriol	Estrogen receptor agonist
4334	-0.03	cp	BRD-A92630576	trimebutine	Opioid receptor agonist
4335	-0.03	cp	BRD-A34817987	itraconazole	Cytochrome P450 inhibitor
4336	-0.03	cp	BRD-A16694057	bisphenol-a	PPAR receptor antagonist
4337	-0.03	cp	BRD-A18763547	BAX-channel-blocker	Cytochrome C release inhibitor
4339	-0.06	cp	BRD-K47639036	flavoxate	Acetylcholine receptor antagonist
4340	-0.07	cp	BRD-K40902647	vincamine	Adrenergic receptor antagonist
4341	-0.1	cp	BRD-A10303790	talampicillin	Bacterial cell wall synthesis inhibitor
4342	-0.11	cp	BRD-K59332007	linopirdine	Potassium channel blocker
4343	-0.11	cp	BRD-K35531059	molsidomine	Guanylyl cyclase activator
4346	-0.14	cp	BRD-K62374253	rufloxacin	Bacterial DNA gyrase inhibitor
4347	-0.14	cp	BRD-K06712146	YM-90709	IL5 inhibitor
4348	-0.14	cp	BRD-K15834839	lobendazole	Anthelmintic
4349	-0.14	cp	BRD-A04706586	bucladesine	Adenosine receptor agonist
4352	-0.18	cp	BRD-K06753942	nobiletin	MEK inhibitor
4353	-0.18	cp	BRD-K54233340	dorsomorphin	AMPK inhibitor
4354	-0.18	cp	BRD-K86204871	terconazole	Sterol demethylase inhibitor
4356	-0.21	cp	BRD-A35912562	pregnenolone	Glutamate receptor modulator
4357	-0.21	cp	BRD-K78126613	menadione	Mitochondrial DNA polymerase inhibitor
4359	-0.25	cp	BRD-K49668410	clarithromycin	Bacterial 50S ribosomal subunit inhibitor
4360	-0.25	cp	BRD-K92015269	GBR-12783	Dopamine uptake inhibitor
4361	-0.25	cp	BRD-A44090213	indoprofen	Cyclooxygenase inhibitor
4362	-0.25	cp	BRD-A73368467	fexofenadine	Histamine receptor antagonist
4366	-0.28	cp	BRD-A68888262	azelastine	Histamine receptor antagonist
4369	-0.32	cp	BRD-A39172021	ampiroxicam	Cyclooxygenase inhibitor
4370	-0.32	cp	BRD-K43797669	genistein	Tyrosine kinase inhibitor
4371	-0.32	cp	BRD-K24132293	piperlongumine	Glutathione transferase inhibitor
4372	-0.32	cp	BRD-K15563106	phloretin	Sodium/glucose cotransporter inhibitor
4375	-0.33	cp	BRD-K00532621	midazolam	Benzodiazepine receptor agonist
4377	-0.35	cp	BRD-K73397362	purmorphamine	Smoothened receptor agonist
4380	-0.39	cp	BRD-K75958195	pizotifen	Serotonin receptor antagonist
4388	-0.42	cp	BRD-K25224017	pirenperone	Serotonin receptor antagonist
4389	-0.42	cp	BRD-K57222227	indometacin	Cyclooxygenase inhibitor
4392	-0.46	cp	BRD-M47937986	cefatrizine	Bacterial cell wall synthesis inhibitor
4393	-0.46	cp	BRD-K32645441	dipropyl-5ct	Serotonin receptor agonist
4394	-0.46	cp	BRD-A58564983	selamectin	Nematocide
4400	-0.49	cp	BRD-K55034111	pefloxacin	Bacterial DNA gyrase inhibitor
4401	-0.49	cp	BRD-K60511616	pravastatin	HMGCR inhibitor
4402	-0.49	cp	BRD-K63165456	norcyclobenzaprine	Adrenergic receptor agonist
4403	-0.49	cp	BRD-K21450440	benzthiazide	Carbonic anhydrase inhibitor
4407	-0.53	cp	BRD-K82147103	lofepramine	Norepinephrine reuptake inhibitor
4408	-0.53	cp	BRD-K78294846	osthol	Calcium channel blocker
4410	-0.53	cp	BRD-A86044036	flurbiprofen	Cyclooxygenase inhibitor
4412	-0.55	cp	BRD-K93480852	KN-93	Calcium-calmodulin dependent protein kinase inhibitor
4414	-0.56	cp	BRD-K80725632	lavendustin-c	EGFR inhibitor
4415	-0.56	cp	BRD-K73982490	BI-78D3	JNK inhibitor
4416	-0.56	cp	BRD-K39621635	artemether	Antimalarial
4417	-0.56	cp	BRD-K63151507	MNITMT	Lymphocyte inhibitor
4418	-0.56	cp	BRD-A02713983	dihydrodeoxygedunin	Growth factor receptor activator
4424	-0.6	cp	BRD-K94887716	TFMPP	Serotonin receptor agonist
4425	-0.6	cp	BRD-K88759641	EMD-66684	Angiotensin receptor antagonist
4427	-0.62	cp	BRD-A65280694	molindone	Dopamine receptor antagonist
4428	-0.63	cp	BRD-A75402480	desoxycorticosterone	Mineralocorticoid receptor agonist
4435	-0.67	cp	BRD-K78431006	crizotinib	ALK inhibitor
4436	-0.67	cp	BRD-A36630025	SN-38	Topoisomerase inhibitor
4437	-0.67	cp	BRD-A23072235	pheniramine	Histamine receptor antagonist
4443	-0.7	cp	BRD-K43405658	tyrphostin-AG-527	Protein tyrosine kinase inhibitor
4444	-0.7	cp	BRD-K07691486	roscovitine	CDK inhibitor
4445	-0.71	cp	BRD-K09635314	M-3M3FBS	phospholipase activator
4449	-0.73	cp	BRD-K94649603	taxifolin	Opioid receptor antagonist
4454	-0.74	cp	BRD-K81839095	estrone	Estrogen receptor agonist
4457	-0.74	cp	BRD-K07888107	depudecin	HDAC inhibitor
4461	-0.77	cp	BRD-A97479839	piperidolate	Acetylcholine receptor antagonist
4466	-0.81	cp	BRD-K86191271	cytosporone-b	NUR77 receptor agonist
4467	-0.81	cp	BRD-K60298136	ITE	Aryl hydrocarbon receptor agonist
4468	-0.81	cp	BRD-A09533288	verapamil	Calcium channel blocker
4477	-0.85	cp	BRD-A97674275	ranolazine	Sodium channel blocker
4482	-0.88	cp	BRD-K05350981	oligomycin-c	ATPase inhibitor
4483	-0.88	cp	BRD-K52020312	metronidazole	DNA inhibitor
4484	-0.88	cp	BRD-K84955386	hyperoside	Glucosidase inhibitor
4485	-0.88	cp	BRD-K92446736	zatebradine	HCN channel blocker
4486	-0.88	cp	BRD-A19661776	mianserin	Serotonin receptor antagonist
4487	-0.88	cp	BRD-K32501161	vanoxerine	Dopamine uptake inhibitor
4491	-0.88	cp	BRD-K63550407	erythromycin	NFkB pathway inhibitor
4492	-0.88	cp	BRD-A80793822	pemoline	Dopamine receptor agonist
4493	-0.88	cp	BRD-A81233518	glycopyrrolate	Acetylcholine receptor antagonist
4501	-0.95	cp	BRD-K34415467	trimethobenzamide	Histamine receptor antagonist
4518	-0.99	cp	BRD-K00615600	AG-14361	PARP inhibitor
4519	-0.99	cp	BRD-K65285700	BRD-K65285700	Cannabinoid receptor agonist
4520	-0.99	cp	BRD-A42346008	metanephrine	Epinephrine metabolite
4521	-0.99	cp	BRD-K14993104	bemegride	Chemoreceptor agonist
4530	-1.04	cp	BRD-K81847782	scandenin	Plant compound with antimicrobial activity
4535	-1.06	cp	BRD-K40656405	L-165041	PPAR receptor agonist
4536	-1.06	cp	BRD-K67017579	cilostazol	Phosphodiesterase inhibitor
4538	-1.06	cp	BRD-K77641333	naphazoline	Adrenergic receptor agonist
4539	-1.06	cp	BRD-K02637541	celecoxib	Cyclooxygenase inhibitor
4540	-1.06	cp	BRD-K06593056	LE-135	Retinoid receptor agonist
4546	-1.09	cp	BRD-A17453586	MDL-72832	Serotonin receptor agonist
4547	-1.09	cp	BRD-K22385716	LY-303511	Casein kinase inhibitor
4548	-1.09	cp	BRD-K46137903	prednicarbate	Phospholipase activator
4549	-1.09	cp	BRD-K63979671	etifenin	Compound used in hepatobiliary scans of the liver
4550	-1.09	cp	BRD-A97739905	ketoprofen	Cyclooxygenase inhibitor
4554	-1.13	cp	BRD-K68437527	EMF-bca1-60	caspase inhibitor
4555	-1.13	cp	BRD-K61323504	SB-225002	CC chemokine receptor antagonist
4556	-1.13	cp	BRD-K52662033	lidocaine	Histamine receptor agonist
4557	-1.13	cp	BRD-A29082194	gitoxigenin	ATPase inhibitor
4558	-1.13	cp	BRD-K07237224	moclobemide	Monoamine oxidase inhibitor
4569	-1.19	cp	BRD-K93618743	ipriflavone	Bone resorption inhibitor
4570	-1.19	cp	BRD-K51066026	aminoindazole	Ionophore
4573	-1.2	cp	BRD-A81177136	KN-62	Calcium-calmodulin dependent protein kinase inhibitor
4574	-1.2	cp	BRD-K55344148	BU-224	Imidazoline receptor ligand
4578	-1.22	cp	BRD-K67352070	TC-2559	Acetylcholine receptor agonist
4579	-1.23	cp	BRD-K52620403	STO-609	Calmodulin antagonist
4580	-1.23	cp	BRD-K52721684	PCO-400	Potassium channel activator
4581	-1.23	cp	BRD-K27141178	SB-203186	Serotonin receptor antagonist
4591	-1.27	cp	BRD-A50684349	fenoldopam	Dopamine receptor agonist
4592	-1.27	cp	BRD-A29901043	KIN001-127	ITK inhibitor
4597	-1.3	cp	BRD-K20714604	RS-56812	Serotonin receptor partial agonist
4598	-1.3	cp	BRD-K28863208	PNU-282987	Cholinergic receptor agonist
4599	-1.3	cp	BRD-K74141488	naftifine	Fungal squalene epoxidase inhibitor
4600	-1.3	cp	BRD-K47192521	icosapent	Platelet aggregation inhibitor
4603	-1.3	cp	BRD-A25004090	erastin	Ion channel antagonist
4605	-1.31	cp	BRD-K18816859	L-694247	Serotonin receptor agonist
4606	-1.31	cp	BRD-A47144777	dihydro-7-desacetyldeoxygedunin	HSP inhibitor
4607	-1.32	cp	BRD-K19533706	tranilast	Angiogenesis inhibitor
4614	-1.34	cp	BRD-K29113274	ketoconazole	Sterol demethylase inhibitor
4615	-1.34	cp	BRD-K45446451	JZL-184	Monoacylglucerol lipase inhibitor
4616	-1.34	cp	BRD-A43882281	pinacidil	ATP channel activator
4617	-1.34	cp	BRD-K92428153	mycophenolate-mofetil	Dehydrogenase inhibitor
4620	-1.37	cp	BRD-K02953697	naringin	Cytochrome P450 inhibitor
4626	-1.37	cp	BRD-K11853856	PJ-34	PARP inhibitor
4636	-1.4	cp	BRD-K32821942	azathioprine	Dehydrogenase inhibitor
4637	-1.4	cp	BRD-K56301217	ABT-737	BCL inhibitor
4638	-1.42	cp	BRD-K71035033	masitinib	KIT inhibitor
4639	-1.42	cp	BRD-K40530731	hyoscyamine	Acetylcholine receptor antagonist
